,ID,AppName,Date,Rating,Review,Aspect label,sentiment label
19,4533,CapCut - Video Editor,2021-10-11 17:16:22,2,"After I cut the video where the beats are and try to add transitions , when I replay from the beginning it skips . The sound skips and the video .",Feature Request,Negtive
20,4536,CapCut - Video Editor,2021-04-11 09:00:16,2,"After I edit a video and make another one , the video clip’s screen goes black and I can’t fix it for like 10 minutes. It keeps happening",Feature Request,Negtive
21,5136,CapCut - Video Editor,2021-05-08 03:50:40,1,"after working on an edit for an hour the video deleted when i reloaded, not cool 😐",Problem Discovery,Negtive
22,5200,CapCut - Video Editor,2021-09-11 23:49:38,5,Ah yes well if it isn’t the app where I can make those Roblox stories,Feature Request,Positive
23,5203,CapCut - Video Editor,2021-03-06 06:45:13,5,"ah yes, the most used editing app used in a LOT of places!! <3 capcut is so good and has creative transitions! theres effects, and all that stuff! you can also make custom transitions with a little help with effects! anyways, i have a little problem,... or just a question. when i try and create a project: it says i need to give access but when i go to settings i cant find the camera or album saving in the options. please respond asap because i’d just like to know and understand!",Problem Discovery,Negtive
24,5210,CapCut - Video Editor,2022-01-08 06:19:13,5,AHH I have been yawing this app forever and I love how you can edit on here it’s honestly one of the best apps I’ve ever downloaded and everything is free!!!,Feature Request,Positive
25,5211,CapCut - Video Editor,2022-01-31 11:19:13,5,"AHH I have used this app for so long and it works excellently 
I had some ideas for some new features however, for example.. A puppet tool so that u can control joints of something , maybe a disintegration effect, as well as a light rays effect",Feature Request,Positive
26,5506,CapCut - Video Editor,2021-10-11 20:02:54,3,all fonts i try to import say file not supported or i cannot import them.,Problem Discovery,Negtive
27,5543,CapCut - Video Editor,2021-10-25 22:17:56,3,All I ask from you is that you make the slomo speed smoother and better! Have a great day!,Feature Request,Positive
28,5572,CapCut - Video Editor,2021-05-30 14:01:50,5,All I gotta say is it’s better than video star and funimate,Feature Request,Positive
29,5580,CapCut - Video Editor,2021-12-17 19:01:59,1,all i have to say is i hate you!!!!,Problem Discovery,Negtive
