short_description,description,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
submit your time cards for approval,please action submit cards hi keep getting reminders regarding complete left left october neither cannot kind enough update records please under code days then kindly both update record thanks head please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,2,21,67,3,4
submit your time cards for approval notification,please action submit cards hi queried these alerts told ignore transition resolved by arriving believe these date formally moved refer timecards over old continue ignore these alerts switched off somehow think queried nearly four months ago alerts come every cheers editorial consultant please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,2,105,67,3,4
new purchase po,purchase po dear purchased matte display please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
need new,hi guys please details hosted building hyper infrastructure location mandatory since client accept his other than machine operating newer purposes cpu disk worry about partitioning handle needs accessible networks also needs ports user root rights client machine operating newer purposes cpu disk needs accessible networks especially user rights client thank engineer,1,6,22,7,95,3,4
new starter account republic of macedonia kale building,starter form induction hi please assist completion attached return form empty part thank officer,1,4,2,7,43,3,4
clone self service dashboard,clone self dashboard hello writing ask help cloning self widget report snow profile onto profile reason requesting uses these reports monitor tickets logged self best interest report available within consider needs also added each member profile sd specialists please liaise please note by snow kind regards engineer mobile,1,4,2,7,43,3,4
wants to access requesting it hardware equipment,wants requesting hardware equipment monitor accept decline requests,1,4,1,7,46,3,4
we need new groups for our testing crazy,groups testing add users needed owner these groups users members port test sitting dancing hammer muffin crazy thank,1,4,3,7,36,3,4
milestone licensing service,re milestone licensing agreed well then please assist please log queue thank re milestone licensing hi seems sensible idea generally problem restricted given addresses say vendor sites licensing makes device updates easier cheers milestone licensing hi milestone needs license revalidated camera modified far exported license file supplier then validates sends file back import objects communicate presuming validation runs same documentation specify,1,6,1,7,32,3,4
remove from,re hi part sector owners right how name added part sector please owners thank kind regards,1,4,2,87,46,3,4
assign new access card,re lost card hello va ii alt card se la,1,4,1,7,73,3,4
new purchase po,purchase po dear purchased received items date february mobile subscription updated include device under user name link please add allocation device thanks kind regards administrator,1,5,13,7,32,3,4
leaver service now,leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,43,3,4
monitoring shared mailbox,monitoring shared mailbox hello please creation shared mailbox named monitoring members let further details required lead,1,4,2,7,36,3,4
new purchase po,purchase po dear purchased monitor please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
new delivery,hello received po please advise log kind regards engineer ext,1,5,13,86,32,3,4
add to network,hello please add thank,1,4,2,7,4,3,4
job title,job title hi note title treasury while please ask thanks mobility officer,1,4,2,21,36,3,4
password reset,hi cannot please best regards specialist retention rotterdam tuesday thursday friday hi changed work please best regards specialist retention rotterdam tuesday thursday friday information contained communication confidential legally privileged intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action relation contents information strictly prohibited unlawful neither nor represented liable complete transmission contents timely receipt institutional registered under,1,4,2,76,4,3,4
bit bucket account,bit bucket hello bit bucket thank,1,4,2,7,19,3,4
new delivery,hello received today po black cooler notebook please advise please log receiving goods thanks technician,1,5,13,7,32,3,4
access to,dear please permission link bit bucket accumulations browse thanks tester,1,4,1,7,19,3,4
cc and expenditure types guide,expenditure types guide hi please find attached latest expenditure types guide please kindly share other colleagues whom hand type please touch teams thank best regards,1,4,3,7,46,3,4
reset time card,card hi guys please card period thank application engineer,1,4,2,21,67,3,4
storage access,storage hello please storage order setup environment regards engineer mob,1,4,1,7,38,3,4
access for review contract setup,re review contract setup hi please assign thank engineer review contract setup dear kindly ask give report review contract setup add report column which shows creator created by each contract background contracts setup prod needs overview contracts created prod persons created these contracts prod billing important has setup contracts going friday tried extract information name person has created contract find updated by column persons information kindly well about other members report picture think helpful call matter thank help great analyst,1,4,2,21,66,3,4
new purchase po,purchase po dear purchased requested by type cable micro mini adaptor mini female adaptor male female please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
report for,report hi please inform mentioned user forbidden well cracks please cracked best regards monitoring analyst,1,5,15,87,32,3,4
access to folders,folders dear please joiner today given same folders important treasury thanks head tax treasury pm re folders fine wrote hi please given same folders thanks head tax treasury,1,4,1,7,38,3,4
de password change,wants hi change which until forced by change via has procedure changed recently regards accept decline requests,1,4,2,76,4,3,4
monitor add install new monitor,monitor hello dear had monitor discussed he told leave tower give thank,1,5,13,7,32,3,4
please cancel incidents as they are duplicates,please cancel incidents duplicates hello please incidents cancel highlighted best regards senior engineer ext zone,1,4,2,21,43,3,4
revise access to location,revise location hello please revise location users left please find attached also clear additional users contributors role collection attached additional contributors picture view please regards senior engineer registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has,1,4,2,21,92,3,4
set up com com as exception for all,complaint regarding resolution hello please approved by moderator please close complaint off thanks re complaint regarding resolution please proceed regards complaint regarding resolution hi help surveys lists surveys evaluating moves annual satisfaction ones thanks clarifying helping progress friday pm complaint regarding resolution hi writing regards complaint excerpt tuesday pm feedback how move hello please informed checked has moderator means each has approved by moderator he has out automatic informs delay flow process please let further information assistance needed kind regards analyst allow offer bit context while back were entire lists which caused corrective action limitations were members groups allowed lists were expand said directly personal instead corrective action moderators were lists under moderated means expanded once wait moderator approve users groups added exceptions said lists permissions thus bypass moderator altogether solution recommend ask make every location order surveys out immediately reaching wait moderator approve course subject thank,1,4,2,21,36,3,4
quarantine you have new,dear re automatic seal tag machine pm kb re automatic seal tag machine kb deleted automatically after days change frequency these within log default locale,1,4,2,21,89,3,4
transfer license from one user to another,transfer license user hello left going please transfer his license replaced role best regards senior engineer,1,4,2,21,43,3,4
all staff outlook,hello please make cancel moved offices starting today relocated attached part thanks lovely,1,4,3,7,36,3,4
vs professional subscription support,vs professional subscription hello work tech stack assistance vs professional subscription objective activate azure benefit hands azure event representatives st without azure unable perform azure work during event issue sequence steps visual studio license status manage visual studio profile benefits azure error appears benefit azure subscription each subscription entitled corresponding free azure subscription subscription personal created user defined personal cannot azure instead azure work same please advise thank,1,4,15,7,32,3,4
transfer request access to win cl,tuesday pm re transfer form hello please find attached transfer form please note update document required cost centre id section wrong indirect cost centre decision link working hardware pc telephony section link catalogue working text please puma additional items required updated provided possible job started remain available other details needed kind regards officer wednesday re transfer form si la tuesday transfer form hi please fill enclosed form transfer thanks administration officer,1,6,1,7,95,3,4
install module new router,re critical peer session down hello about module replacement after everything mounted back powered thank engineer friday re critical peer session down shipping replacement router arrive unfortunately hardware known faulty problem module called inside router needs moved dead router router feel comfortable steps module dead router install let figure out visit site handle installation run router without part good install rack re rack again thanks motherboard step turn off electrical router leave cable plugged channel voltages ground step router cover step locate motherboard figure figure location content renditions screws connector standoffs step loosen screws step lift motherboard step static bag step replace cover install motherboard series install step warnings section disconnect replace module step turn off electrical router leave cable plugged channel voltages ground step cover step identify slot router main motherboard step locate standoffs motherboard figure step insert slot board note ensure press firmly until board seats onto connector step insert screws accessory standoffs tighten screws screwdriver torque nm step installed correctly board step replace cover friday re critical peer session down hello about questions bellow friday pm replace router right away thank friday re critical peer session down connected router via console working possible replace questions replacement blvd floor district person whose name shipment accept shipment dates times once shipment has arrived physically replace router right away feel comfortable doing work thanks friday re critical peer session down hello somebody charge pulled out both cords router re inserted stat led colour thank friday re critical peer session down number call were given number answered call please call work thanks friday re critical peer session down thanks phone number where call watch console output while tries boot ask pull both cords out then re insert vice president infrastructure networking two greenwich plaza greenwich ct friday re critical peer session down hello physical seems router signs picture attached back router stat led red colour picture attached tried restart nothing changed link led off additional details please let provide thank engineer friday re critical peer session down hi per monitoring primary router lost please physical along thanks regards infrastructure networking working pm friday re critical peer session down hi unable thanks regards infrastructure networking working pm friday re critical peer session down hi circuit went down sh sh summary router identifier number table version main routing table version entries bytes memory path entries bytes memory path attribute entries bytes memory path entries bytes memory community entries bytes memory route map entries bytes memory filter entries bytes memory total bytes memory received paths soft reconfiguration activity prefixes paths interval secs neighbor down idle thanks regards infrastructure networking working pm friday critical peer session down ca spectrum alarm details vt ca spectrum alarm id probable affected device details device name name description router branch location device type interface description probable cause peer session down symptoms session peer has established established probable causes communication peer has interrupted peer has peer down recommended actions status peer event session peer dynamic bb has gone established idle event ca spectrum console ca console disclaimer contain confidential privileged information intended recipient received error please notify immediately destroy delete hereby notified unauthorized copying disclosure material strictly prohibited communication informational purposes intended offer solicitation purchase sale instrument official confirmation transaction information contained communication warranted completeness accuracy subject change without notice comments statements made communication necessarily reflect affiliates,1,5,13,7,32,3,4
web,hello please order decommission best regards engineer friday re hi decommission best regards test consultant logo logo pm re hello performing determine unused requested deploy please let running decommission looking forward best regards engineer,1,4,2,87,95,3,4
transfer request oracle pas,same rights level please replicate buyer reports please make she programme report,1,4,2,21,66,3,4
extend mailbox size,extend mailbox size hi please extend mailbox size almost mb free please informed deleted unwanted mails large ones also thank kind regards ledger accountant,1,4,2,21,36,3,4
new card,card hi guys please que activate card worker paint wall morning best regards engineer ext,1,7,1,7,73,3,4
please schedule for monday the morning the below post version upgrade,please schedule morning post version upgrade hello upgrade dynamics has successfully completed please schedule morning post version upgrade best regards senior engineer friday re create snapshot production importance high dear please users attached templates please include he product owner app let questions,1,4,3,21,10,3,4
,hi looking share wanted appropriate location update location seems obvious choice owner regards,1,4,1,7,46,3,4
perform re indexing on prod every monday time,perform re indexing prod every,1,4,3,0,51,3,4
wants to access principles,wants principles principles document thank accept decline requests,1,4,1,7,46,3,4
time sheets,sheets hi please entries thank,1,4,2,21,67,3,4
addresses devices,re addresses devices hi mobile devices belong testing added perform tests part daily work please add thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions thursday pm addresses devices device name kind regards tester information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,1,6,1,7,52,3,4
retrieval new purchase po,purchase po dear purchased has please log allocation please log retrieve old device kind regards administrator,1,5,13,87,32,3,4
new starter tower,starter discipline dear please informed candidate accepted job offer become within discipline february please create her credentials per attached form thank best regards specialist,1,4,2,94,40,3,4
licence,licence hello please let tool cost install pc want investigate include invoice commercial client regards discipline lead,1,4,3,88,32,3,4
export gal,export gal hi guys please export gal tried doing myself returns empty rows table thank,1,4,2,88,36,3,4
visual studio,visual studio hello dear requires license visual studio possibility provide regards engineer mob,1,4,3,7,32,3,4
additional monitor,re additional monitor hello kindly asking log assign provide monitor please update relevant information after assisting thank kind regards administrator friday pm additional monitor hello please provide additional monitor relocated tower thank regards engineer mob,1,5,13,7,32,3,4
new version of the for for,version hi discussed installed slave download confirmation id thank senior engineer,1,4,3,7,49,3,4
new purchase po,hello received ex po please advise log kind regards engineer ext,1,5,13,7,32,3,4
access to upload and modify documents on,upload modify hi give write accumulations order add upload modify documentation please thank planned annual leave,1,4,1,7,46,3,4
admin account access level,level hi needed privileges work example even cannot registries modify certain files please same privileges colleagues example certainty thanks best regards engineer ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions,1,4,2,88,4,3,4
access password reset,hi germany he tried himself site reports his details he needs administrator please advise possible since he member client side best regards lead,1,4,2,76,4,3,4
new purchase po,purchase po dear purchased monitor inch wide type please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
old access,old hi please old breakdown thank officer,1,4,1,7,63,3,4
new purchase po,purchase po dear purchased keyboards wired headphones please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
laptop stand request,stand hi kindly ask stand appreciate speed procedure since experiencing serous neck discomfort pain due thank best regards lead,1,5,13,7,32,3,4
need a monitor,monitor hello dear moved location tower monitor connect location floor relax area kind discipline lead,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased galaxy shock proof rugged cover please log allocation kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased monitor inch please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,1,5,13,7,32,3,4
access,hi connect failure colleague successfully connected guess user needs more rights configuration please thanks great application engineer,1,4,1,7,26,3,4
domain admin account,hi reactivated work velocity please advise process approvals required regards infrastructure consultant,1,4,2,7,4,3,4
new delivery bucharest,hello received lite order id invoice please advise please log receiving shipment kind regards engineer ext,1,5,13,7,32,3,4
needed for new customer project,needed dear please help setting excel attached please let more information needed addition near future also accounts client well cheers,1,4,2,7,51,3,4
change job titles for and,change job titles dear please change job titles engineer engineer thank,1,4,2,21,4,3,4
notification maintenance,hi environment mode weekend duration during period won accessible please communication users client heads client infrastructure please find attached completed form additional information please hesitate thank analyst,1,4,3,60,70,3,4
manage access list,re manage hi also additional comments visible please owner he taking over role thanks client,1,4,1,7,36,3,4
video component decommissioning physical equipment,video component decommissioning hi guys requested decommissioning video component kindly update documentation meantime log physical equipment specifically information back thank,1,4,3,88,2,3,4
new service configuration service now periscope support,configuration periscope hello working component called periscope test environments configured infrastructure provide infrastructure monitoring please based attached document added document created please also add front name avoid confusion thank let additional details regards,1,4,2,7,43,3,4
audio and video calls all conference rooms,re audio video calls rooms dear please kind schedule meeting video capable rooms quickly demonstrate features addition user guide available knowledge base useful trio guide please log assign queue kind regards engineer ext audio video calls rooms hi availability video calls rooms please everything working then show how audio video source dial monitor camera same thanks mob,1,5,15,88,32,3,4
carrier change request,carrier change dear please changing confirmed thank,1,4,2,21,67,3,4
changing of default mobile phone number for forwarding calls from for,changing default mobile phone number forwarding calls hi please change mobile phone forward calls mobile phone instead forwarded work mobile phone which thank regards senior infrastructure engineer infrastructure upcoming holiday none id,1,4,2,51,87,3,4
project population,population hi please assign based export importing application thank engineer,1,4,2,21,70,3,4
reminder for leaver,reminder leaver hi please assign best regards analyst friday pm re reminder leaver hi please kind leaver form further help needed let thank friday reminder leaver hi received believe please advise thanks friday reminder leaver dear please submit leaver form found messages requests note mailbox receive messages,1,4,2,21,40,3,4
change for,re update has assigned queue hello please change dear please assign thank engineer,1,4,2,21,40,3,4
close all the projects,annual leave codes has assigned hi please close best regards analyst friday pm re annual leave codes has assigned hi reason believe added codes looking approve saw timecard error looking annual leave codes active selected image form prod today where has doubled his timecard annual leave requested absence inserted code thursday pm re annual leave codes has assigned hi annual leave were closed visible cards anymore best regards analyst thursday pm re annual leave codes has assigned hello closed thank wednesday pm re annual leave codes has assigned hi annual leave closed countries except created after went has date future by close well best regards analyst wednesday re annual leave codes has assigned hi please close codes were closed after then again after made corrections timecards opened again absences closed thank tuesday pm re annual leave codes has assigned hi far nothing done past cards these codes yet facing issues regarding lot close cases deal old cards close date best regards analyst tuesday pm annual leave codes has assigned please advised record number has assigned please review details take appropriate action description annual leave codes hi please best regards analyst tuesday pm annual leave codes hello work done timecards annual leave codes active logged done background work done think close back thank officer summary annual leave codes number priority moderate assignment location center please link attachments image image image image kind regards ref msg,1,4,2,87,67,3,4
new starter,february dear colleagues going february starts starts starts starts forms attached great,1,4,2,94,40,3,4
maternity leaver form,maternity leaver form hello please fill maternity leaver form today her maternity leave,1,11,39,3,73,3,4
update access cards access,update bun reg si update ave interval interval interval,1,11,39,3,73,3,4
upload rights and edit to a one location pm practice,upload rights location pm hello please location pm area disciplines libraries pm disc cross sessions view ca ribbon thank,1,4,1,7,46,3,4
creative services for titles,creative titles hello update job titles senior designer senior designer designer visual designer visual designer designer senior visual designer visual designer visual designer visual designer head creative moment analyst analyst since split off discipline creating confusion calls thank head creative,1,4,2,21,4,3,4
for permanent conference,permanent hi way setup meeting permanent id client dedicated myself thanks ex regards,1,4,2,7,2,3,4
hardware,hardware hi guys please que hardware retrieval floor monitor best regards engineer ext,1,5,13,87,32,3,4
project license,license hi instance installed since changed please provide instructions thank,1,5,15,7,32,3,4
create scheduled report,create scheduled report hello please kind log help setting scheduled weekly report report highlighted everyone included highlighted agent tried creating path actual schedule agent whom well run tried actual report run agent by agent by make busy code were options none ones furthermore selecting out curiosity let submit thank much best regards leader,1,4,3,21,96,3,4
new purchase po,purchase po dear purchased cartridge toner cyan cartridge toner magenta toner yellow please log allocation after item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
list,hi change possible myself log thanks friday december pm re approved friday december pm dear owner kindly looking forward hearing thank kind regards analyst ext history reference history additional comments visible update task task assignment assignee owner closed complete work notes description hi please these persons change name more ref msg,1,4,2,21,36,3,4
access to test,test hi please has user name seems he connect thank friday test hi today found he has test cases user name please help rights same thank thursday december accounts has assigned hi thank ask everything works thank wednesday december pm re accounts has assigned hi added same roles has same rights please everything works side questions hesitate best regards engineer wednesday december pm accounts has assigned please advised record number has assigned please review details take appropriate action description accounts hi thank providing seems he misses test cases module he same rights more details regards wednesday december pm accounts hi found enter he has please help rights same created by same thank wednesday december accounts hi status credentials received granted work credentials received cannot accessed without certificates received delayed join probably tomorrow wrote best regards wednesday december accounts hi please accesses working thank tuesday december pm accounts hi credentials sorry delay forwarding these details thank friday december accounts hello please advised ad accounts created display name display name assist please let best regards analyst ext hub summary accounts number priority moderate assignment location center please link attachments image image kind regards ref msg,1,4,2,88,51,3,4
declined set up for video interview,declined video interview la engineer ext,1,5,13,21,32,3,4
amend its filters snow,hello kindly asking help out amend personal filters visible snow multiple ones which anymore also add please explain exactly which ones keep add thank,1,4,3,21,43,3,4
reallocate phones to en,reallocate phones hello please kind log each assets attached reallocated these tickets assigned colleagues take care physically removing assets area thank best regards leader,1,4,3,60,48,3,4
oracle time registration issue,registration issue hello having trouble while working app report modal receive warning error create card date date print screen attached steps lead problem report modal completed selected format selected date save close deleted wednesday help issue thank,1,4,2,105,67,3,4
add to,reaching out hello received unusual wonder safe trap thank friday reaching out good evening appreciate solution wanted interested further exploring effectively leveraging work re resource around best practices well share how other companies industry solution teams help call learn more thank wonderful evening avenue redwood ca,1,4,2,7,89,3,4
request access on en net,hello guys connected connect via chrome browser result err timed out please find attached proof more details please help regards senior tester,1,6,1,7,29,3,4
architect installation and license,architect installation license hello please help installation architect user license thank,1,5,3,7,32,3,4
return from maternity,return maternity maternity ca calculator maternity si ca exact cum ca va,1,11,39,3,73,3,4
contracts extensions,contracts extensions dear please advised interns move permanent contract february contract extensions after finished internship after finished internship after finished internship after finished internship vatic after finished internship after finished internship after finished internship after finished internship after finished internship after finished internship after finished internship kind regards,1,4,2,21,4,3,4
access,hi please provide working seed training repository thank senior tester,1,4,2,7,19,3,4
annual leave wrong records,annual leave wrong records hi has reported wrong calculation her annual leave annual leave december has showed more than supposed absence records kindly assign best regards engineer,1,4,2,105,67,3,4
contract is due to end,re contract due thanks please copy signed covers period please update databases accordingly thanks kind regards mobility officer re contract due hi contract extension thanks alerts wrote dear contract due please contract extended date note by disabled contract ended thank,1,4,2,21,4,3,4
its area clean up en phone,area clean hello please kind log each assets attached reallocated these tickets assigned colleagues take care physically removing assets area thank best regards leader,1,5,13,60,48,3,4
to block,hi please attached thank,1,4,2,7,89,3,4
access oracle for and,hello please write required thank,1,4,2,21,70,3,4
cable,cable hi guys please log assign cable second display thank engineer,1,5,13,7,32,3,4
increasing limit on size of,increasing limit size hi limit increased because nature role numerous requests gets hard keep top kind regards planning officer infrastructure upcoming holiday friday february please consider environment print,1,4,2,21,36,3,4
