Unnamed: 0,Program,Genre,Number of viewers,Audience share (%),Start time,Broadcasting date
126.0,Quiz Quran,Religieux,34870,21.0,03:11:00,2023-01-28
127.0,Maa Naha,Culturel,23722,30.0,16:30:00,2023-01-22
128.0,Hiraf,Capsule,31146,25.0,17:54:00,2023-01-05
129.0,Midadou chouaara,Culturel,26220,35.0,12:59:00,2023-01-28
130.0,Fada Ryadi,Sport,37798,26.0,20:11:00,2023-01-13
131.0,Journal Télévisé,Info,37628,39.0,22:30:00,2023-01-10
132.0,Agenda,Info,19576,41.0,20:16:00,2023-01-23
133.0,Sahafatou Al ousbouaa,Info,25000,25.0,14:09:00,2023-01-14
134.0,Touratak Lak,Culturel,22547,27.0,03:41:00,2023-01-29
135.0,Tarab,Music,40052,30.0,12:42:00,2023-01-17
136.0,Nabdou Al Moujtamaa,Culturel,30128,37.0,01:47:00,2023-01-06
137.0,Journal Télévisé,Info,21197,33.0,22:30:00,2023-01-29
138.0,Agenda,Info,23400,28.0,20:28:00,2023-01-24
139.0,Mina Dakira sahraouya,Culturel,37647,21.0,08:34:00,2023-01-14
140.0,Mara oa Al Hayat,Culturel,33685,32.0,17:48:00,2023-01-09
141.0,Journal Télévisé,Info,35926,25.0,22:30:00,2023-01-02
142.0,Mina Dakira sahraouya,Culturel,22148,38.0,12:12:00,2023-01-20
143.0,Amnir,documentaires,19687,34.0,01:23:00,2023-01-01
144.0,Kadaya ramadaniya,Religieux,36681,37.0,10:18:00,2023-01-17
145.0,Hiraf,Capsule,25371,30.0,16:23:00,2023-01-03
146.0,Konoz mina sahrae,Culturel,17215,28.0,11:01:00,2023-01-15
147.0,Sahil aljanoubi,Culturel,38853,32.0,19:24:00,2023-01-14
148.0,Maa Nass,Politique,29632,34.0,15:18:00,2023-01-11
149.0,Mina alassima,Politique,16537,37.0,15:40:00,2023-01-22
150.0,Aljamal bima hamal,Culturel,17409,27.0,12:52:00,2023-01-28
151.0,samar albidan,Music,38596,34.0,07:43:00,2023-01-14
152.0,Assrisser Dahbo,Series,35617,24.0,15:21:00,2023-01-01
153.0,Makam mina tarab hassani,Music,20286,34.0,19:55:00,2023-01-05
154.0,Assrisser Dahbo,Series,29396,33.0,06:29:00,2023-01-27
155.0,bissmilahi lahi namdeh,Culturel,38634,34.0,20:52:00,2023-01-25
156.0,alfich,Culturel,40796,32.0,14:28:00,2023-01-21
157.0,sibak kawafi,Culturel,28516,33.0,07:56:00,2023-01-11
158.0,Quiz Quran,Religieux,23149,35.0,04:32:00,2022-12-05
159.0,Maa Naha,Culturel,27757,40.0,17:57:00,2022-11-24
160.0,Hiraf,Capsule,24177,35.0,18:11:00,2022-11-22
161.0,Midadou chouaara,Culturel,31439,38.0,15:54:00,2022-11-07
162.0,Fada Ryadi,Sport,40691,26.0,03:32:00,2022-11-03
163.0,Journal Télévisé,Info,40337,28.0,22:30:00,2022-12-10
164.0,Agenda,Info,31928,39.0,04:38:00,2022-12-20
165.0,Sahafatou Al ousbouaa,Info,20088,41.0,11:44:00,2022-10-10
166.0,Touratak Lak,Culturel,36370,23.0,05:07:00,2022-11-17
167.0,Tarab,Music,26326,24.0,10:59:00,2022-11-16
168.0,Nabdou Al Moujtamaa,Culturel,35186,31.0,22:30:00,2022-11-23
169.0,Journal Télévisé,Info,37833,29.0,01:11:00,2022-12-09
170.0,Agenda,Info,29840,28.0,05:35:00,2022-10-10
171.0,Mina Dakira sahraouya,Culturel,35609,26.0,19:54:00,2022-10-31
172.0,Mara oa Al Hayat,Culturel,20283,23.0,12:33:00,2022-11-02
173.0,Journal Télévisé,Info,38645,26.0,22:30:00,2022-10-31
174.0,Mina Dakira sahraouya,Culturel,37429,33.0,08:48:00,2022-10-15
175.0,Amnir,documentaires,40948,41.0,08:52:00,2022-12-26
176.0,Kadaya ramadaniya,Religieux,21096,22.0,11:53:00,2022-10-14
177.0,Hiraf,Capsule,17761,30.0,05:24:00,2022-11-04
178.0,Konoz mina sahrae,Culturel,16508,39.0,08:24:00,2022-11-05
179.0,Sahil aljanoubi,Culturel,33525,31.0,09:59:00,2022-10-05
180.0,Maa Nass,Politique,36159,33.0,03:12:00,2022-12-11
181.0,Mina alassima,Politique,27922,29.0,14:18:00,2022-10-01
182.0,Aljamal bima hamal,Culturel,30862,23.0,04:34:00,2022-12-03
183.0,samar albidan,Music,38317,20.0,17:50:00,2022-10-14
184.0,Assrisser Dahbo,Series,18218,22.0,16:11:00,2022-11-18
185.0,Makam mina tarab hassani,Music,36264,20.0,15:55:00,2022-12-31
186.0,layali lafrig,Culturel,40503,30.0,08:17:00,2022-10-31
187.0,bissmilahi lahi namdeh,Culturel,18931,37.0,04:07:00,2022-11-20
188.0,alfich,Culturel,34723,35.0,17:53:00,2022-11-17
189.0,sibak kawafi,Culturel,38776,32.0,06:35:00,2022-10-20
190.0,Quiz Quran,Religieux,17834,26.0,16:33:00,2022-11-17
191.0,Maa Naha,Culturel,25901,20.0,05:17:00,2022-11-30
192.0,Hiraf,Capsule,27987,38.0,13:03:00,2022-10-16
193.0,Midadou chouaara,Culturel,39963,30.0,13:26:00,2022-10-19
194.0,Fada Ryadi,Sport,38534,20.0,04:19:00,2022-12-04
195.0,Journal Télévisé,Info,39523,38.0,22:30:00,2022-11-21
196.0,Agenda,Info,29697,29.0,04:05:00,2022-11-06
197.0,Sahafatou Al ousbouaa,Info,39235,26.0,01:05:00,2022-12-17
198.0,Touratak Lak,Culturel,25092,31.0,07:33:00,2022-12-11
199.0,Tarab,Music,38966,21.0,06:11:00,2022-12-22
200.0,Nabdou Al Moujtamaa,Culturel,34985,30.0,02:39:00,2022-10-31
201.0,Journal Télévisé,Info,40284,36.0,22:30:00,2022-12-26
202.0,Agenda,Info,28500,31.0,12:53:00,2022-10-30
203.0,Mina Dakira sahraouya,Culturel,40704,27.0,16:54:00,2022-10-09
204.0,Mara oa Al Hayat,Culturel,30799,31.0,01:12:00,2022-10-24
205.0,Journal Télévisé,Info,18166,31.0,22:30:00,2022-11-04
206.0,Mina Dakira sahraouya,Culturel,29339,29.0,10:27:00,2022-10-05
207.0,Amnir,documentaires,30770,23.0,15:25:00,2022-11-01
208.0,Kadaya ramadaniya,Religieux,27580,41.0,08:47:00,2022-12-07
209.0,Hiraf,Capsule,26939,37.0,19:56:00,2022-12-15
210.0,Assrisser Dahbo,Series,28141,33.0,15:56:00,2022-11-14
211.0,Sahil aljanoubi,Culturel,36493,23.0,01:17:00,2022-10-05
212.0,Maa Nass,Politique,21296,19.0,01:36:00,2022-10-21
213.0,Mina alassima,Politique,35298,40.0,10:24:00,2022-12-19
214.0,Aljamal bima hamal,Culturel,36114,21.0,10:41:00,2022-11-29
215.0,samar albidan,Music,19008,38.0,03:29:00,2022-11-16
216.0,Assrisser Dahbo,Series,20064,24.0,19:41:00,2022-12-31
217.0,Makam mina tarab hassani,Music,25599,39.0,00:24:00,2022-10-24
218.0,layali lafrig,Culturel,20166,28.0,16:32:00,2022-11-13
219.0,Quiz Quran,Religieux,30267,37.0,07:18:00,2022-12-26
220.0,alfich,Culturel,28857,29.0,14:08:00,2022-11-27
221.0,sibak kawafi,Culturel,32215,41.0,15:22:00,2022-12-25
222.0,Quiz Quran,Religieux,38206,19.0,10:22:00,2022-11-17
223.0,Maa Naha,Culturel,36895,22.0,18:19:00,2022-11-24
224.0,Hiraf,Capsule,37954,19.0,19:47:00,2022-12-23
225.0,Midadou chouaara,Culturel,25393,28.0,12:49:00,2022-11-18
226.0,Fada Ryadi,Sport,20436,24.0,06:36:00,2022-11-07
227.0,Journal Télévisé,Info,40641,25.0,22:30:00,2022-10-11
228.0,Agenda,Info,33611,41.0,15:00:00,2022-11-07
229.0,Sahafatou Al ousbouaa,Info,27987,19.0,08:52:00,2022-11-01
230.0,Touratak Lak,Culturel,37989,36.0,12:27:00,2022-12-25
231.0,Tarab,Music,20932,22.0,11:27:00,2022-11-10
232.0,Nabdou Al Moujtamaa,Culturel,38408,28.0,20:21:00,2022-11-04
233.0,Journal Télévisé,Info,20727,35.0,22:30:00,2022-10-16
234.0,Agenda,Info,16549,19.0,11:34:00,2022-11-10
235.0,Mina Dakira sahraouya,Culturel,24178,22.0,20:15:00,2022-12-19
236.0,Mara oa Al Hayat,Culturel,40372,21.0,17:09:00,2022-10-06
237.0,Journal Télévisé,Info,38571,33.0,22:30:00,2022-12-09
238.0,Mina Dakira sahraouya,Culturel,33012,32.0,07:46:00,2022-10-27
239.0,Amnir,documentaires,21754,33.0,08:44:00,2022-11-01
240.0,Kadaya ramadaniya,Religieux,23456,38.0,07:00:00,2022-12-26
241.0,Hiraf,Capsule,30984,22.0,08:54:00,2022-10-06
242.0,Konoz mina sahrae,Culturel,18277,28.0,18:29:00,2022-10-22
243.0,Sahil aljanoubi,Culturel,26606,20.0,17:02:00,2022-12-18
244.0,Maa Nass,Politique,35253,21.0,09:24:00,2022-10-10
245.0,Mina alassima,Politique,21285,19.0,01:23:00,2022-12-12
246.0,Aljamal bima hamal,Culturel,39680,20.0,05:46:00,2022-12-16
247.0,samar albidan,Music,35249,19.0,11:16:00,2022-11-02
248.0,Assrisser Dahbo,Series,39242,20.0,03:03:00,2022-12-26
249.0,Makam mina tarab hassani,Music,32880,33.0,20:26:00,2022-10-24
250.0,layali lafrig,Culturel,37312,35.0,07:05:00,2022-10-01
251.0,bissmilahi lahi namdeh,Culturel,20973,38.0,08:08:00,2022-10-17
252.0,alfich,Culturel,18879,32.0,10:24:00,2022-11-28
253.0,sibak kawafi,Culturel,35631,32.0,08:13:00,2022-10-11
254.0,Quiz Quran,Religieux,17540,24.0,09:45:00,2022-12-30
255.0,Maa Naha,Culturel,27598,31.0,19:32:00,2022-11-05
256.0,Hiraf,Capsule,31998,38.0,01:33:00,2022-12-28
257.0,Midadou chouaara,Culturel,31137,27.0,15:45:00,2022-10-26
258.0,Fada Ryadi,Sport,19809,27.0,02:45:00,2022-10-20
259.0,Journal Télévisé,Info,24751,35.0,22:30:00,2022-12-05
260.0,Agenda,Info,32202,38.0,16:22:00,2022-12-14
261.0,Sahafatou Al ousbouaa,Info,34130,22.0,13:40:00,2022-11-26
262.0,Touratak Lak,Culturel,35892,26.0,03:26:00,2022-11-01
263.0,Tarab,Music,18646,27.0,08:20:00,2022-12-29
264.0,Nabdou Al Moujtamaa,Culturel,22886,23.0,18:38:00,2022-10-28
265.0,Journal Télévisé,Info,18057,31.0,22:30:00,2022-10-19
266.0,Agenda,Info,31044,38.0,19:18:00,2022-12-05
267.0,Mina Dakira sahraouya,Culturel,24391,33.0,00:16:00,2022-12-01
268.0,Mara oa Al Hayat,Culturel,39730,27.0,08:14:00,2022-11-24
269.0,Journal Télévisé,Info,27209,21.0,22:30:00,2022-10-26
270.0,Mina Dakira sahraouya,Culturel,25355,31.0,10:58:00,2022-12-12
271.0,Amnir,documentaires,18191,37.0,11:57:00,2022-10-26
272.0,Kadaya ramadaniya,Religieux,40211,32.0,11:17:00,2022-10-11
273.0,Hiraf,Capsule,20001,24.0,15:07:00,2022-11-07
274.0,Konoz mina sahrae,Culturel,18312,24.0,15:18:00,2022-11-03
275.0,Sahil aljanoubi,Culturel,35726,39.0,08:32:00,2022-11-13
276.0,Maa Nass,Politique,19845,40.0,03:19:00,2022-11-29
277.0,Mina alassima,Politique,28475,20.0,04:01:00,2022-10-08
278.0,Aljamal bima hamal,Culturel,27870,27.0,07:20:00,2022-10-01
279.0,samar albidan,Music,21747,40.0,16:19:00,2022-11-13
280.0,Assrisser Dahbo,Series,40605,19.0,00:05:00,2022-11-07
281.0,Makam mina tarab hassani,Music,19399,21.0,18:12:00,2022-10-13
282.0,layali lafrig,Culturel,36538,32.0,02:39:00,2022-11-18
283.0,bissmilahi lahi namdeh,Culturel,22181,38.0,15:07:00,2022-10-26
284.0,alfich,Culturel,21590,33.0,13:13:00,2022-10-14
285.0,Assrisser Dahbo,Series,32117,38.0,04:52:00,2022-12-21
286.0,Quiz Quran,Religieux,24777,26.0,07:03:00,2022-10-18
287.0,Maa Naha,Culturel,24460,22.0,12:08:00,2022-11-22
288.0,Hiraf,Capsule,34337,22.0,05:54:00,2022-12-22
289.0,Midadou chouaara,Culturel,32009,36.0,07:44:00,2022-06-12
290.0,Fada Ryadi,Sport,20858,27.0,01:07:00,2022-08-17
291.0,Journal Télévisé,Info,23259,29.0,22:30:00,2022-06-18
292.0,Agenda,Info,39523,39.0,01:16:00,2022-07-19
293.0,Sahafatou Al ousbouaa,Info,21706,21.0,17:16:00,2022-06-24
294.0,Touratak Lak,Culturel,19709,34.0,02:35:00,2022-07-19
295.0,Tarab,Music,17735,30.0,09:05:00,2022-07-12
296.0,Nabdou Al Moujtamaa,Culturel,26132,35.0,04:03:00,2022-07-22
297.0,Journal Télévisé,Info,24685,36.0,22:30:00,2022-07-19
298.0,Agenda,Info,31689,22.0,11:38:00,2022-07-30
299.0,Mina Dakira sahraouya,Culturel,37426,31.0,13:24:00,2022-06-02
300.0,Mara oa Al Hayat,Culturel,20360,33.0,18:51:00,2022-06-20
301.0,Journal Télévisé,Info,28448,21.0,22:30:00,2022-08-25
302.0,Mina Dakira sahraouya,Culturel,27136,36.0,08:06:00,2022-06-16
303.0,Amnir,documentaires,20680,41.0,16:31:00,2022-07-26
304.0,Kadaya ramadaniya,Religieux,27563,23.0,19:00:00,2022-07-02
305.0,Hiraf,Capsule,32257,38.0,10:36:00,2022-09-24
306.0,Konoz mina sahrae,Culturel,28753,28.0,06:54:00,2022-08-02
307.0,Sahil aljanoubi,Culturel,39472,25.0,06:52:00,2022-07-28
308.0,Maa Nass,Politique,33362,24.0,20:34:00,2022-09-26
309.0,Mina alassima,Politique,32453,32.0,18:08:00,2022-08-11
310.0,Aljamal bima hamal,Culturel,31630,22.0,16:31:00,2022-06-27
311.0,samar albidan,Music,17830,40.0,03:05:00,2022-07-03
312.0,Assrisser Dahbo,Series,35905,30.0,15:54:00,2022-06-09
313.0,Makam mina tarab hassani,Music,24035,28.0,04:15:00,2022-06-03
314.0,layali lafrig,Culturel,21024,34.0,07:53:00,2022-09-07
315.0,bissmilahi lahi namdeh,Culturel,20568,21.0,15:31:00,2022-07-25
316.0,alfich,Culturel,25473,19.0,07:00:00,2022-08-13
317.0,sibak kawafi,Culturel,26648,39.0,16:07:00,2022-08-06
318.0,Quiz Quran,Religieux,25468,30.0,02:03:00,2022-09-28
319.0,Maa Naha,Culturel,33047,37.0,04:33:00,2022-07-23
320.0,Hiraf,Capsule,20902,35.0,10:14:00,2022-06-20
321.0,Midadou chouaara,Culturel,24891,29.0,01:42:00,2022-08-30
322.0,Fada Ryadi,Sport,32498,25.0,12:12:00,2022-06-30
323.0,Journal Télévisé,Info,22117,38.0,22:30:00,2022-07-03
324.0,Agenda,Info,17505,27.0,11:40:00,2022-07-20
325.0,Sahafatou Al ousbouaa,Info,39367,32.0,19:57:00,2022-06-17
326.0,Touratak Lak,Culturel,38293,33.0,08:03:00,2022-06-16
327.0,Tarab,Music,24595,38.0,07:04:00,2022-06-25
328.0,Nabdou Al Moujtamaa,Culturel,17451,28.0,05:28:00,2022-08-04
329.0,Journal Télévisé,Info,29750,30.0,22:30:00,2022-07-15
330.0,Agenda,Info,23960,32.0,13:37:00,2022-06-21
331.0,Mina Dakira sahraouya,Culturel,37468,24.0,00:17:00,2022-07-02
332.0,Mara oa Al Hayat,Culturel,23549,26.0,01:10:00,2022-08-12
333.0,Journal Télévisé,Info,27491,34.0,22:30:00,2022-08-28
334.0,Mina Dakira sahraouya,Culturel,28003,22.0,02:12:00,2022-08-09
335.0,Amnir,documentaires,17041,23.0,04:02:00,2022-06-27
336.0,Kadaya ramadaniya,Religieux,35881,24.0,06:41:00,2022-08-20
337.0,Hiraf,Capsule,37718,25.0,19:21:00,2022-06-04
338.0,Konoz mina sahrae,Culturel,29263,19.0,09:29:00,2022-08-28
339.0,Sahil aljanoubi,Culturel,34031,23.0,10:38:00,2022-09-06
340.0,Maa Nass,Politique,35263,40.0,19:59:00,2022-09-19
341.0,Mina alassima,Politique,31511,30.0,01:44:00,2022-07-18
342.0,Aljamal bima hamal,Culturel,33496,28.0,04:52:00,2022-07-11
343.0,samar albidan,Music,17156,21.0,15:28:00,2022-07-18
344.0,Assrisser Dahbo,Series,26958,32.0,01:27:00,2022-07-26
345.0,Makam mina tarab hassani,Music,18028,37.0,10:57:00,2022-08-29
346.0,layali lafrig,Culturel,30659,23.0,18:17:00,2022-09-30
347.0,bissmilahi lahi namdeh,Culturel,17167,34.0,20:31:00,2022-09-03
348.0,Quiz Quran,Religieux,37543,19.0,10:19:00,2022-06-02
349.0,sibak kawafi,Culturel,33787,20.0,08:49:00,2022-07-25
350.0,Quiz Quran,Religieux,19100,32.0,04:47:00,2022-07-10
351.0,Maa Naha,Culturel,28782,24.0,18:55:00,2022-07-08
352.0,Hiraf,Capsule,17509,31.0,11:08:00,2022-08-24
353.0,Midadou chouaara,Culturel,31433,34.0,13:27:00,2022-06-27
354.0,Fada Ryadi,Sport,20717,38.0,14:44:00,2022-07-25
355.0,Journal Télévisé,Info,23562,26.0,22:30:00,2022-09-14
356.0,Agenda,Info,37518,21.0,06:43:00,2022-06-14
357.0,Sahafatou Al ousbouaa,Info,33409,35.0,05:01:00,2022-08-20
358.0,Touratak Lak,Culturel,17981,40.0,19:13:00,2022-09-12
359.0,Tarab,Music,25106,36.0,10:46:00,2022-08-26
360.0,Nabdou Al Moujtamaa,Culturel,38997,19.0,17:47:00,2022-07-23
361.0,Journal Télévisé,Info,30454,35.0,22:30:00,2022-07-19
362.0,Agenda,Info,39963,38.0,09:48:00,2022-07-09
363.0,Mina Dakira sahraouya,Culturel,39951,31.0,20:21:00,2022-07-05
364.0,Mara oa Al Hayat,Culturel,29493,21.0,04:15:00,2022-06-30
365.0,Journal Télévisé,Info,20581,30.0,22:30:00,2022-09-03
366.0,Mina Dakira sahraouya,Culturel,18582,29.0,09:34:00,2022-08-03
367.0,Amnir,documentaires,37384,33.0,07:17:00,2022-09-05
368.0,Kadaya ramadaniya,Religieux,37453,38.0,00:27:00,2022-06-13
369.0,Hiraf,Capsule,29678,27.0,04:19:00,2022-08-11
370.0,Konoz mina sahrae,Culturel,31019,26.0,12:52:00,2022-08-07
371.0,Sahil aljanoubi,Culturel,29949,38.0,08:03:00,2022-09-24
372.0,Maa Nass,Politique,40026,28.0,17:53:00,2022-06-14
