,text,label,Emotions,Emotions_Label,cluster
10,"two of my elderly neighbors were advised by their doctors to forgo covid vaccinations for now each has previously had a severe vaccine reaction bells palsy for one of them anaphylaxis for the other they are devastated and very much afraid of covid and desperately wanted a vaccine my spouse and i are vaccinated and along with two other neighbors we help them continue to get food and engage with the world as much as it remains safe for them to do so
our society cannot forever sequester those who cannot get vaccinated for whatever reason when the rest of us are vaccinated we need to realize that it is the unvaccinated who remain vulnerable they are not a threat but excluding them from public spaces is on par with curbs steps and narrow passageways that exclude the disabled this is the problem with mandates and with businesses or government buildings requiring proof of vaccination we can forge a better way",vaccination,"[{'label': 'realization', 'score': 0.9563753008842468}]",realization,1
11,a mask has protected me from colds and the flu for that reason alone i will continue to wear one americans will spend the entirety of the pandemic arguing about masks grow up get vaccinated wear a mask this is not over yet,vaccination,"[{'label': 'approval', 'score': 0.5778703689575195}]",approval,0
12,"i understand the legal challenges of employers requiring a vaccine that is under emergency use authorization as a condition of employment however many of the employed at this point work rather efficiently at home there should be no problem for the employers to require vaccinations as a condition to return to the office if a company is not willing to require this it should offer those who are vaccinated to stay home and work from home
the same logic should (and could) be applied for sports clubs schools universities restaurants and shops if you do not get vaccinated continue getting your groceries through amazon",vaccination,"[{'label': 'neutral', 'score': 0.9365873336791992}]",neutral,0
13,if only those who cry medical privacy could somehow keep the virus to themselves as well,,"[{'label': 'neutral', 'score': 0.9972745776176453}]",neutral,0
14,i have actually forgotten what some of my co workers look like there are a few new ppl that i have never seen their face at all even though i spend several hours per week with them even though we are all vaccinated enough already,vaccination,"[{'label': 'realization', 'score': 0.9852639436721802}]",realization,0
15,i live in florida where less than % of residents have been fully vaccinated i continue to wear a mask when i am around a lot of people enter a restaurant or other business,vaccination,"[{'label': 'approval', 'score': 0.9563129544258118}]",approval,0
16,for the countrys largest companies mandatory vaccinations would protect service workers and lower the anxiety for returning office employees it would also protect and lower the anxiety for returning customers  you know the ones whose money pays the bills the salaries and the bonuses and lower the anxiety of stockholders who may be concerned about organized or de facto boycotts of companies that wont protect employees or customers or about the impact of classaction lawsuits that may arise,vaccination,"[{'label': 'approval', 'score': 0.6633951663970947}]",approval,0
17,everyone needs to grow up and learn to cook for themselves sheesh,,"[{'label': 'caring', 'score': 0.816223680973053}]",caring,0
18,why dont insurance companies increase premiums for people who refuse the vaccines why dont hospitals/ers/doctors demand an extra cash payment on unvaccinated people in order to treat them if they choose not to buy health insurance,vaccination,"[{'label': 'curiosity', 'score': 0.914799690246582}]",curiosity,0
19,the cdc declined to comment,,"[{'label': 'curiosity', 'score': 0.8419556021690369}]",curiosity,0
20,correction: the nation didnt want to eat out again trump and his trumpers wanted to open everything up for the specific purpose of revamping the failing economy majority of americans did not go out into the restaurants nor the pubs now trump and his trumpers are insisting that schools reopenanother massive disaster on its way trump failed america americans are dying,lockdown,"[{'label': 'disappointment', 'score': 0.8221269845962524}]",disappointment,0
21,"why is ibm working with new york state on a digital passport linking a persons vaccination records to an app to show business like performance venues that may require vaccination when this has been done it is called the excelsior pass it is connected to an app
entitled nys wallet my pass includes my name date of birth expiration date and something similar to a bar code which needs to be scanned what am i missing i had to check the date of the article to see if this was written months ago",vaccination,"[{'label': 'neutral', 'score': 0.6797128319740295}]",neutral,0
22,a bar is not the same thing as a restaurant even though most of the regulations fail to make that distinction a restaurant may include a bar but many do not at bars people are usually sitting side by side next to each other and often talking loudly conditions very conducive to virus transmission in restaurants people are usually sitting at tables though the distance between tables can vary a lot i used to live in manhattan and i remember how common it was for restaurants to use banquette seating where diners in single party are seated opposite each other and adjacent to other diners on the other hand restaurants in areas where real estate is not so expensive usually but not always place diners at separate nonadjacent tables restaurants can usually accommodate rules about separation of tables though sometimes at the cost of capacity and therefore of revenue but a bar that required its patrons to observe social distancing would have a very hard time operating at all my impression is when a restaurant also has a bar the bar provides a disproportionate portion of its revenue,masking and distancing,"[{'label': 'realization', 'score': 0.6396193504333496}]",realization,1
23,i know many people who died from covid and i was all for masks and precautions all along but at this point it is simply overkill read the fine print and science to see that the risk to vaccinated individuals from delta is minute and speculative at best will we all keep wearing masks forever to avoid a tiny risk for which we do not take similar levels of precautions in any other case enough with the masks and the hype unless a real and clearcut risk and danger returns,masking and distancing,"[{'label': 'curiosity', 'score': 0.9294965863227844}]",curiosity,0
24,we have not stopped masking since becoming fully vaccinated in march this is for the same reason as our starting masking within a week of the pandemic being recognized it protects others may people have a less than robust response to the vaccine and remain vulnerable despite their best efforts there is a (small) chance of the vaccinated becoming infectious with no symptoms it would be immoral for me to take even the slightest chance with others additionally we only have hard evidence on the known variants and more will come and might be different enough to overcome the vaccine,vaccination,"[{'label': 'disapproval', 'score': 0.37486159801483154}]",disapproval,1
25,it is maddening that certain scientists and health officials make statements regarding peoples reticence towards mask wearing the science must be solely concerned with the proper thing to do to curb the virus no matter how the public might react because if there is one thing that matters it is that we must all trust in the objectivity of science and not the subjectivity of politicians business owners and numerous others this is not to say that the scientists and health care officials ought to bury their heads in the sand regarding the publics reactions on the contrary i think it was bone headed of the cdc to say that fully vaccinated people could cease wearing a mask that statement opened a door that is difficult to shut the cdc should have simply stated that fully vaccinated people were well protected then let others mayors governors etc modify any rules re mask wearing,vaccination,"[{'label': 'annoyance', 'score': 0.5113298892974854}]",annoyance,1
26,there is no delicate balance between health and privacy when it comes to virus variants that are much more contagious and deadlier those who refuse to wear masks because of no other reason than to be obstinate are essentially playing russian roulette with other peoples health and lives without repercussions when they infect others they do not face criminal charges as they should they are not held responsible for the loss of wages or medical bills to that persons household they are not held responsible for anything even though their refusal to do simple things has caused death and devastation to so many other peoples lives this is plain and simple fact not something that is debatable all countries of the world should require every person to be vaccinated in order to work in any business that puts them in contact with other employees and/or customers if you are not vaccinated you should not be allowed to travel outside of your city enter any government federal state or local building business school etc yes you have a right to decide not to be vaccinated or not to wear a mask but everyone else has a right not to become infected by you and risk permanent damage to their lungs heart or any other internal organ or dying because of your choice so yes every business should require employees to be vaccinated if you dont want to be vaccinated thats your right but dont complain about losing your job ,vaccination,"[{'label': 'approval', 'score': 0.7816489338874817}]",approval,1
27,what if percent of your work force refuses are you prepared to lay off that percent he said he asked clients or what if its someone highlevel or in a key role would you be prepared to impose consequences and then they sometimes get more nervous yes and yes,vaccination,"[{'label': 'neutral', 'score': 0.5597037672996521}]",neutral,0
28,i am not putting a mask on again unless it is required air travel medical offices etc since march i have religiously followed all the rules wearing a mask even before cdc recommendations and isolating at home for the last months weeks after having my second pfizer shot i slowly and cautiously reentered the world folks like us have sacrificed a lot of precious time with family and friends especially at my age if the antivaxxers do not get their shots and this sounds harsh but it is on them,masking and distancing,"[{'label': 'realization', 'score': 0.5902615189552307}]",realization,0
29,some restaurant patrons talk up a storm with each other or on their phones for extended periods of time while some patrons may enjoy the scene others may wish to stay away from the resulting aerosols thus restaurant owners and health authorities should consider reserving certain sections of restaurants as quiet zones especially during the busy dinning hours thus reducing the amount of aerosols restaurant patrons would otherwise unwillingly inhale,masking and distancing,"[{'label': 'joy', 'score': 0.5750470161437988}]",joy,0
30,yes true points as you say many restaurant and bar employees across the country are in their s and can carry the virus home and possibly seed household transmissions which have soared and yes epidemiologists roundly agree that indoor dining especially in bars is far more likely to spawn outbreaks than outdoor settings so what do you think is about to happen as millions of teens and young adults crowd into classrooms and dorms across the nation it is not possible to avoid the reality of what we are doing or what the consequences will surely be we have already seen it yes workers have been kept from pay and the poor suffer yes businesses are breaking down no the republican leadership will never agree to subsidize the nation until a real decline in cases comes so yes we are being forced to open schools for children and colleges are forced to open as they lack funding otherwise but it is not a secret and it is not avoidablethe illnesses and deaths about to be unleashed as this latest folly unfolds too bad too bad,lockdown,"[{'label': 'approval', 'score': 0.9405195713043213}]",approval,1
31,mask mandates are not punishment for being bad actors they are to keep us safe scientists and doctors are the messengers the anger directed at people who are reporting the facts and managing an unpredictable and mutating virus is misdirected and consequential we are all tired and fedup but refusing to wear a mask just because we already did that is at our own peril we can do this buck up wear a mask and take care of yourself and others,masking and distancing,"[{'label': 'caring', 'score': 0.785582959651947}]",caring,0
32,our countrys response to this pandemic has been woeful zero leadership,,"[{'label': 'disapproval', 'score': 0.833509087562561}]",disapproval,0
33,requiring employees to get vaxxd is effective obedience testing the hr departments must be thrilled,vaccination,"[{'label': 'approval', 'score': 0.772804856300354}]",approval,0
34,what about people who have already had the virus and have developed antibodies naturally this is just as good as having the vaccination and many scientists think it is even better as you have been exposed to the whole virus a positive antibody test should count as much as having the vaccination,vaccination,"[{'label': 'curiosity', 'score': 0.7163029909133911}]",curiosity,0
35,we are in a culture of denial and it is not just about masks the whole approach of reopening to save the economy was misguided at best deceptive at worst the whole idea of reopening while the biological problem is not under control is a recipe for disaster the govt should have taken steps to ensure that all small businesses and workers would have what they needed to get through the pandemic forcing businesses to reopen (and many were gung ho about it) is systematically euthanizing them many were barely surviving on % of their customer base precovid now they have to make it work on % or % good luck wall street wants you to go chapter so hedge funds can snatch up the commercial real estate on the cheap just like they did with the housing market in so it is no surprise the govt is letting everyone suffer (remember this is a policy choice other countries did not do this) they are doing it to benefit the corporate elite people have to unite: renters landlords small biz owners commercial property owners unite and hold govt accountable call your reps,lockdown,"[{'label': 'realization', 'score': 0.6608454585075378}]",realization,1
36,clear as mud who knew so many people wouldnt jump at the chance to get vaccinated when this thing first dropped on us its stunning and just another facet of our national dysfunction,vaccination,"[{'label': 'surprise', 'score': 0.6191716194152832}]",surprise,0
37,i do not and will not sit hours in an office space with unvaccinated people my vaccine is not % just not doing it,vaccination,"[{'label': 'disapproval', 'score': 0.9765027761459351}]",disapproval,0
38,yes americans are yearning for their farro (),,"[{'label': 'curiosity', 'score': 0.9222797155380249}]",curiosity,0
39,montana implemented a very easy and efficient federally funded vaccine roll out a triumph of socialized medicine despite its red state status still vaccinations are slowing i imagine the cynical might feel more confident getting vaccinated if the companies producing the vaccines were not looking at billion dollar profits,vaccination,"[{'label': 'approval', 'score': 0.4816604554653168}]",approval,0
40,as a vaccinated person i dont share in the glee of forcing others to get vaccinated instead pushing for more equitable and ethical access across the globe making the latest scientific studies readily available and ending the partisan blaming and shaming seem like much more effective priorities than trying to force anything  especially with no scientific evidence whatsoever to support that the forced solution will work ultimately this forcing business starts to sound like religion and not health policy based on science,vaccination,"[{'label': 'approval', 'score': 0.8683158755302429}]",approval,0
41,frankly other than those that have documented medical reasons for not getting vaccinated my patience has past tie any federal or state financial and medical benefits to getting a vaccine and the reluctant lot will line up quick enough the time for pussyfooting around this has long past we have three vaccines and some inventory that is going unused when i grew up the federal government had the right to draft us into the military and to stick shots in our arms at induction and there is surely less personal freedom now then there was then line them up inoculate them and this will be a problem of our past,vaccination,"[{'label': 'realization', 'score': 0.7505826950073242}]",realization,0
42,within hours of hearing that there are too many active covid cases for my children to go to school in person at all i see people drinking/dining inside the gym sends a yippeeback to almost pre pandemic functioning masks optional if working out vigorously i quit the gym will not eat out until my kids can go back to school we get carry out and tip very well to support local businesses we walk hike bike paddle board swim in lakes rivers the sound the ocean (the ocean with wetsuits here)we are hardly stuck inside we do airbnb online experiencescooking virtual travel tours etc i am disgusted that people do not understand that until the virus is under control we cannot have our lives back we cannot have our economy back the selfishness is astoundingand it will keep going on and on until the stupidity stopsor until we have the majority vaccinated which will be months after there is a vaccine i simply do not understand how people do not get the big picture of how this works or that our schools ever thought in the spring given how people are behaving that there was any hope school could start safely in person the people hollering about their freedom (maskless of course) are keeping everyone including themselves from getting full lives and the economy back,masking and distancing,"[{'label': 'disgust', 'score': 0.9586241245269775}]",disgust,1
43,this is a public health issue and state/fed govt should have the authority to mandate vacs unless there is a disqualifying medical condition proving vac status seems problematic some see laws requiring the presentation of any type of id as an overstep or violation of civil liberty akso i personally believe in the science and would like to chuck he mask having completed the vac process if i have proof of c vaccination should not i be allowed to do so,vaccination,"[{'label': 'curiosity', 'score': 0.3832360804080963}]",curiosity,0
44,  in ny: hoping your message applies to fellow teachers administrators staff and volunteers some major school districts in ca including those that serve large populations of poc families are good at requiring adults to provide proof of negative tb tests but refuse even to ask teachers staff et al about vaccine status let alone require vaccination these people are paid with public funds and should be required to follow public health guidance and since families are required by law to enroll their children in school they are now faced with the choice of breaking the law or sending stillvulnerable children to spend plus hours a day with adults who may not be vaccinated and who may be asymptomatically spreading ever more dangerous variants to children and coworkers and the families they go home to while it appears that statistically and so far schools havent been sources of many superspreader incidents it doesnt mean it never happens and what school employee or volunteer wants the weight of a students death or disability or that of a students family on their conscience,vaccination,"[{'label': 'optimism', 'score': 0.6863796710968018}]",optimism,1
45,outdoor dining will not be feasible come november through march or april in most of the united states,lockdown,"[{'label': 'disapproval', 'score': 0.9386770129203796}]",disapproval,0
46,these injections are not yet vaccines why is everyone going along with the claims that they are did you all sign informed consent forms for this treatment are you following vaers and some of the health advocates and medical people (mostly women) who are suffering ongoing convulsions with migraines and are incapacitated and need help with dressing and cannot drive or go places alone doctors are too frightened to attribute the damage to the injection which means limited or no insurance coverage no disability and no jobs i believe these problems will compete with the damage of covid very difficult situation but people who know their health background and have studied the literature on vaccines since aids in the s (i am vaccinated except for this onestill concerned and watching) must have the choice some people are so anaphylactic that they really cannot take the chance,vaccination,"[{'label': 'curiosity', 'score': 0.6468613743782043}]",curiosity,1
47,enough the times is rife with reports about vaccine hesitancy among disparate groups and how it is making it increasing unlikely that this country will ever reach herd immunity we have tried popup clinics mobile vans house visits outreach of all kinds incentives and bribes and yet only % of the millions of adults who are still unvaccinated have any plans to do so we are in a public health emergency not only the private sector but the government must mandate vaccination for the public health of us all now that the vaccine manufacturers are applying for full authorization there is no legal excuse not to require it and every moral reason to the government cannot allow the irresponsible ignorant members of our fractured country to continue to endanger the rest of us,vaccination,"[{'label': 'annoyance', 'score': 0.29923215508461}]",annoyance,1
48,we are in this mess because yet again republicans dont like to read or be read to trump now refuses intelligence briefings viruses are not a joke once you get one you can feel its effects to the day you die its a thing that keeps giving when ignorance rules we must demand that truth rule the day fb twitter are more powerful than any government at this time if we have laws against hate speech why cant fb and twitter just use those guide lines we all know empirically that the world is round why do we permit people who dont believe in science have such a platform we must protect this great nation against stupidly because it is easily manipulated by bad people,,"[{'label': 'realization', 'score': 0.5959049463272095}]",realization,0
49,if i am a health insurance company and i see that someone i am covering is not getting a vaccination i am upping their rates and/or dropping them entirely your insurance rates should reflect your willingness to take on risk if you are a frequent skydiver or someone who drives race cars or refuses vaccines your rates and policy options should reflect that,vaccination,"[{'label': 'neutral', 'score': 0.710787296295166}]",neutral,0
50,to think that we might have had a chance to be going about our business working eating out traveling spending time with our families and friends taking care of our elderly parents getting an education etc if only our socalled leaders had called it right back in january or even february they could have stopped incoming flights closed down certain industries and schools asked us to all stay home while they got busy preparing us for the possibility of a pandemic instead they did nothing they wrung their hands over the stock market they worried about what would happen to their political careers and they golfed all while this pandemic took hold in our country everyone has paid the price all right and now it is time for them to pay theirs at the ballot box and through the courts,lockdown,"[{'label': 'neutral', 'score': 0.9095204472541809}]",neutral,1
51,the times published a survey a couple of months ago where the political divide on this matter was clear: people who identify as dems way overestimated the likelihood that a person would be hospitalized with covid whereas those who identify as repubs actually were closer to the mark (it pains me to say this) im convinced at least part of the argument in favor of masks here and elsewhere is political virtue signaling in other words people add a lot of other reasons into their risk assessment example: i keep hearing how masks helped prevent colds and flus during the season but was it mask wearing during ones probably brief foray into a grocery store that prevented these common ailments or was it the fact that people were working from home not commuting via crowded public transport (bart in the bay area) traveling in plans that reality seems more likely to me not the masks,masking and distancing,"[{'label': 'neutral', 'score': 0.4459287226200104}]",neutral,1
52,we are at a point in public policy where the risk/reward tradeoffs have become more difficult what is the obligation of vaccinated people to protect those who refuse to get vaccinated to protect those who are immunocompromised and would have benefited from mask mandates even before covid what steps should we take to shield children under from risk these are issues that scientists cannot provide definitive answers to: for better or worse this is the job of our elected representatives and their advisors this article would help judge the relative risks better if it shared more scientific data behind the tradeoffs as they stand now let us see more numbers,vaccination,"[{'label': 'confusion', 'score': 0.8674163818359375}]",confusion,0
53,what could be done is to take a leaf from the antismoking campaign and apply it to the vaccination campaign with the anti smoking campaign there was the marlboro campaign with the man having a laryngeal removal surgery trying to sing the jingle with the artificial voice aid and pictures of tar infused diseased longs removed with the vaccination campaign testimonies from long haulers with their persistent malaise and pictures fatally damaged lungs from victims that undergone double lung transplants as well as patients on ventilators fighting for their lives be used covid is not your seasonal flu,vaccination,"[{'label': 'neutral', 'score': 0.9973911046981812}]",neutral,0
54,i really fear for the safety of restaurant workers family members aerosal spread is real i think restaurants should increasingly follow jose andreslead,masking and distancing,"[{'label': 'fear', 'score': 0.9401373863220215}]",fear,0
55,i am vaccinated but my body my choice if others dont want to be vaccinated so be it i am not sure why vaccinated people feel the need to only be around others that are vaccinatedso they feel more comfortableper the article so their feelings count more than my daughters who is frightened of something not fda approved as usual elitists at work belittling her feelings the vaccine works against the variants too btw give people time to come around,vaccination,"[{'label': 'confusion', 'score': 0.8148826360702515}]",confusion,0
56,"all this personal freedom privacy religious freedom and such has to come to a stop this is a public health matter not a personal one
my freedom not to get infected trumps your freedom to infect me
its past due for the supreme court to reaffirm this principle",vaccination,"[{'label': 'neutral', 'score': 0.9778038859367371}]",neutral,0
57,this is a no brainer there is a reason schools require vaccinations those with medical contraindications should be granted waivers i am tired of personal opinion being treated with the same respect as objective reality especially in a life or death situation the people who are immunocompromised cannot get a vaccine and they are not protected until you get one how many of these vulnerable folks who cannot protect themselves are these illinformed people going to kill,vaccination,"[{'label': 'curiosity', 'score': 0.33405956625938416}]",curiosity,0
58,"if you look at bell curve closely it has a tail end that continues its natures law empirically derived the problem with this disease is that the tail end of the curve represents a significant number of unvaccinated people where the virus finds a critical number of unvaccinated people as a mutation testbed and tests its mutation versions
new mutations will continue to evolve and i do not think we will be getting rid of masks social distancing for quite a foreseeable future
let us all hope that a deadlier version of mutation does not appear but then science tells us it is a matter of time",vaccination,"[{'label': 'optimism', 'score': 0.8340084552764893}]",optimism,0
59,i never stopped wearing my mask in public (and still rarely venture outgrocery store times per month) people are ungodly impatient selfish,masking and distancing,"[{'label': 'anger', 'score': 0.8976249098777771}]",anger,0
60,if people wish to invoke the my body my choice mantra then at least have the decency to allow others the same when it comes to reproductive choices and the right to die with dignity how i make reproductive or end of life decisions affects only me how you fail to undertake safeguarding yourself affects everyone that you come into contact with by potentially threatening their health/life if you are an asymptomatic spreader,vaccination,"[{'label': 'neutral', 'score': 0.5340554714202881}]",neutral,0
61,what is the big deal about a mask a lot of you make it sound like wearing a mask is this massive personal sacrifice that imposes on your liberty freedom etc want to talk about real personal sacrifice for the greater good talk to the generation who fought in wwii that is real sacrifice wearing a mask is not a sacrifice it is easy and takes nothing away from you,masking and distancing,"[{'label': 'approval', 'score': 0.43507546186447144}]",approval,0
62,imagine that privacy is a delicate issue at major corporations like facebook and google and they do t want to be like big brother i thought safety of employees was the top concern for oil and mining companies,,"[{'label': 'neutral', 'score': 0.9136843085289001}]",neutral,0
63,when did the idea of quarantining healthy people become part of the equation this has never been done before and by the looks of it isnt working if you dont want to go to a restaurantstay home no one will blame you for thinking this way but dont act like i am killing someone by enjoying an evening out if anything its a risk for me but it does not have anything to do with kids returning to school we need to return to normal and live with this virus which is not going away any time soon,lockdown,"[{'label': 'fear', 'score': 0.2891959249973297}]",fear,0
64,"where i live there are plenty of folks willing to let strangers sicken and die because their imaginary sky gods will sort it all out afterwards
not having an imaginary sky god despite having been vaccinated i will wear a mask and avoid the deluded there are worse forms of contagion than covid",masking and distancing,"[{'label': 'approval', 'score': 0.726690948009491}]",approval,0
65,perhaps the market can help where sanity does not if a business advertises that its employees are vaccinated i will choose it over a business that does not if a business advertises that its patrons must be vaccinated i will prefer that even more an airline that offered some flights on which vaccinations were required i suspect those flights would be booked the gills or if a bar had a vaccine night we have to find a way to separate ourselves from the ignorant and encourage them to get vaccinated and extending special permissions to the majority is one way of doing that,vaccination,"[{'label': 'neutral', 'score': 0.6900521516799927}]",neutral,0
66,allow for opting out but it is a make it nightmare for those that wish to pursue it i do not want to aint enough after all it is for the good of everybody and ignorance or stupidity should not win over rationale thought also if we never hit herd immunity which donald previewed the new virus can be formed which will only complicate and make this epidemic last so much longer and just how stupid would that be donald created a mess and let us get it over with for the sake of normalcythink about it please,vaccination,"[{'label': 'annoyance', 'score': 0.8806226849555969}]",annoyance,0
67,school districts in california require vaccines for measles and other childhood diseases with very limited exceptions unrelated to religion no vaccine no public school generally private industry has greater freedom to impose this type of requirement this should be a nobrainer,vaccination,"[{'label': 'approval', 'score': 0.6417465209960938}]",approval,0
68,i went to a costco without a mask yesterday and felt profoundly uncomfortable it is back to masking indoors for me i did mask up at the checkout counter out of courtesy to the staff (even those not masked) i have been afraid to go back to inperson classes at the gym because exercise in a mask is simply not feasible for me so it is still virtual for me people are confused by the conflicting information being put out by the cdc and the who i think this can be attributed to the need of the cdc to balance health with politics and business/economy considerations whereas the who is about health only i am putting my lot in with the who because i honestly do not care about what big business wants,masking and distancing,"[{'label': 'fear', 'score': 0.9694111943244934}]",fear,1
69,of all the countless vile things the former president did to democracy our constitution and the people of the us the most recklessly insidious (jan notwithstanding) has to be the politicization of this pandemic health crisis if we had been under anything resembling true and patriotic leadership the brave and fearless people of the us would have blazed a path right through covid with judicious lockdowns and safety measures and now with ample supply of the vaccine wed already be on our way to a bright healthy and normal future but here we are in a potentially endless fight because so many misinformed people have decided that instead of being vaccinated theyd rather run around seeing how many coronavirus variants they can add to the mix unconscionable just inexplicable,vaccination,"[{'label': 'realization', 'score': 0.5445334315299988}]",realization,1
70,its simple wear a mask lets use the information we do know masks help stop the spread of the virus we all want to live the way we once did before covid the world has changed and we must adapt the sooner we stop resisting the best science advice the sooner we can be at a healthier safer world,masking and distancing,"[{'label': 'approval', 'score': 0.9673227071762085}]",approval,0
71,just get the shot and stop using your neighbor or maniacs on social media as pseudoscience advisors,vaccination,"[{'label': 'caring', 'score': 0.4322122037410736}]",caring,0
72,it does seem now that ive been fully vaccinated and not been wearing a mask that i still tend to distance myself if just by habit wearing a mask again in certain instances would now be much less onerous than it was initially and i fully expect to now wear masks at times during the flu season on airplanes etc for instance weve seen what masking and social distancing did for the flu season last winter also whos had a cold lately,masking and distancing,"[{'label': 'curiosity', 'score': 0.9406082630157471}]",curiosity,0
73,no shoes no shirt no vax no service,vaccination,"[{'label': 'neutral', 'score': 0.9226348400115967}]",neutral,0
74,it is a bottom line business decision if employees do not want to get vaccinated and do not have a legitimate medical excuse( religious excuses need not apply delusion and magical thinking is not legit) then they should be informed that their employer based health insurance will not cover covid relates illnesses,vaccination,"[{'label': 'neutral', 'score': 0.8120501637458801}]",neutral,0
75,in east asia few would even discuss this topic this is about pure selfishness of some ppl in this country the only thing matters for them is my personal choice without being responsible for others,vaccination,"[{'label': 'neutral', 'score': 0.9478972554206848}]",neutral,0
76,if a company does not have a policy requiring vaccination there are employees who will reasonably refuse to go into such an infectious environment,vaccination,"[{'label': 'disapproval', 'score': 0.4969758093357086}]",disapproval,0
77,bottom line: america is not going to cut this mandates will be struck down eventually in the name of freedom with exceptionalism and our litigious climate we will never get close to herd immunity covid will become endemic and will be part of the american way of life just as obesity has become as american as apple pie we likely will be barred from many countries in europe and asia where vaccines will be taken as a matter of course here in america we will face disruptions from covid for years to come adding to americas decline,vaccination,"[{'label': 'realization', 'score': 0.8499676585197449}]",realization,0
78,i teach high school and have spent the last few days studying vaccine history to share with my students you have to be over about to remember the times when children were sick many times during childhoodand many of them died more had lifetime complications it is because so few in the population can remember those days that these antivaxxers can have such a cavalier attitude a brief list of some of the childhood diseases we no longer suffer thru: smallpox measles diphtheria polio mumps chicken pox pertussiswe no longer have to suffer with tetanus if we get a puncture wound rabies can be ended women will not suffer from genital cancers we have developed many more vaccines for less common diseases so that no one has to suffer with them either this antivaccine hysteria is absolutely insane,vaccination,"[{'label': 'neutral', 'score': 0.9040041565895081}]",neutral,0
79,drinking in bars and eating out in restaurants while not wearing masks or observing social distancing are selffixing problems soon the revelers will become infected many of them will die those that die should receive an award in memory of herman cain stupid people have a constitutional right to kill themselves by following the health advice of president trump and republican governors,masking and distancing,"[{'label': 'annoyance', 'score': 0.49294760823249817}]",annoyance,0
80,like many people i may soon be returning to inperson indoor work what is better: knowing that all of my coworkers are vaccinated or hoping that most of them are i think we have all spent enough time rolling the dice on covid,vaccination,"[{'label': 'optimism', 'score': 0.984565794467926}]",optimism,0
81,the mask ship has sailed,masking and distancing,"[{'label': 'neutral', 'score': 0.9963098168373108}]",neutral,0
82,yesterdays article on how the many variants develop how quickly they develop mutate was...worrisome/educational/lowlevel frightening alpha beta delta...this virus wont quit until it reaches omega and those unvaccinated by choice due to other illnesses and even we who are fully vaccinated risk allowing new variants new mutations masks are hot inconvenient but im going with the who for...a few more months ive been on the fence as to mandating vaccinations but more and more i resent those who are able to get vaccinated and dont (and that includes some family members) they endanger us all yes these vaccines are experimental we are the experiment subjects but the alternative...is still much worse and these variants present and future make it even more so keep the masks,vaccination,"[{'label': 'annoyance', 'score': 0.4838932454586029}]",annoyance,1
83,well we already have a fierce environment of censorship and censoriousness leading to firings and personal destruction so why not have some actions that accomplish a positive objective for a change,,"[{'label': 'approval', 'score': 0.5552546381950378}]",approval,0
84,personally i am all in favor of companies enticing and or mandating their employees from the top down are vaccinated i am also in favor of vaccine passports i also think ohsa should require companies to mandate their employees and management be vaccinated covid is a major public health concern it is not an infringement of civil liberties to mandate everyone be vaccinated for instance there are already ohsa procedures and regulations regarding employees that test positive for tuberculosis and other communicable diseases i believe this will be the most effective way to prioritize the safety of all employees and the public at large we are all in this together like it or not,vaccination,"[{'label': 'approval', 'score': 0.5697600245475769}]",approval,1
